Date,Close/Last,Volume,Open,High,Low
09/12/2025,$66.53,18529180,$66.88,$67.34,$66.13
09/11/2025,$67.69,17560790,$68.31,$68.57,$67.505
09/10/2025,$68.13,14689480,$67.59,$68.32,$67.12
09/09/2025,$67.34,11649370,$66.74,$67.435,$66.64
09/08/2025,$66.88,14038020,$66.72,$67.005,$66.35
09/05/2025,$66.90,21050790,$67.715,$68.10,$66.48
09/04/2025,$67.99,14388530,$68.10,$68.41,$67.41
09/03/2025,$67.67,14320140,$68.045,$68.13,$67.33
09/02/2025,$67.80,18928840,$68.105,$68.32,$67.38
08/29/2025,$69.09,14952970,$69.11,$69.46,$68.835
08/28/2025,$69.43,15256030,$68.36,$69.5758,$68.35
08/27/2025,$68.44,13876660,$68.32,$68.745,$68.15
08/26/2025,$68.39,28307870,$67.165,$68.75,$67.11
08/25/2025,$67.14,11724470,$67.28,$67.495,$67.11
08/22/2025,$67.32,16830590,$67.33,$68.04,$67.005
08/21/2025,$67.02,12456620,$67.10,$67.22,$66.47
08/20/2025,$67.11,14946420,$66.82,$67.185,$66.535
08/19/2025,$66.76,18746600,$66.76,$67.52,$66.4802
08/18/2025,$66.95,20903410,$66.08,$67.11,$65.75
08/15/2025,$66.20,40877320,$68.45,$68.65,$65.86
08/14/2025,$69.30,39317330,$68.00,$70.61,$67.48
08/13/2025,$70.40,38096360,$71.86,$72.03,$70.25
08/12/2025,$71.38,21940980,$70.785,$71.50,$70.56
08/11/2025,$70.67,28911380,$72.30,$72.55,$70.34
08/08/2025,$71.79,31662370,$70.243,$72.02,$70.215
08/07/2025,$69.90,22579590,$69.80,$70.14,$69.21
08/06/2025,$69.21,23107770,$67.96,$69.345,$67.765
08/05/2025,$67.52,15434500,$68.69,$68.87,$67.445
08/04/2025,$68.49,17052200,$67.765,$68.51,$67.61
08/01/2025,$67.11,21650020,$67.51,$67.61,$66.52
07/31/2025,$68.08,18529230,$68.308,$69.145,$67.88
07/30/2025,$68.275,15518180,$67.84,$68.575,$67.35
07/29/2025,$67.96,15261760,$68.23,$68.725,$67.825
07/28/2025,$67.92,20558380,$67.75,$67.96,$67.37
07/25/2025,$68.69,11590040,$68.38,$68.815,$68.07
07/24/2025,$68.29,13534010,$68.355,$68.59,$67.92
07/23/2025,$68.62,13042260,$68.35,$68.8293,$68.06
07/22/2025,$68.16,14527150,$68.34,$68.60,$68.075
07/21/2025,$68.34,14674210,$67.902,$68.619,$67.79
07/18/2025,$68.05,16145080,$68.775,$68.84,$67.9601
07/17/2025,$68.30,20400010,$67.55,$68.47,$67.51
07/16/2025,$67.37,15156130,$67.15,$67.56,$66.98
07/15/2025,$67.18,13944580,$67.68,$67.88,$67.15
07/14/2025,$67.82,16451390,$67.83,$68.0259,$67.20
07/11/2025,$67.95,14699410,$68.29,$68.4999,$67.685
07/10/2025,$68.76,15006060,$69.255,$69.39,$68.5613
07/09/2025,$69.27,23765950,$68.54,$69.32,$68.31
